cleaning,scores,compound,sentiment
Pemerintah Republik Indonesia berkomitmen untuk memperkuat pembangunan infrastruktur sebagai pendorong pertumbuhan ekonomi nasional melalui skema pembiayaan inovatif dan kerja sama dengan lembaga internasional. Hal ini ditegaskan Menteri Koordinator Bidang Infrastruktur dan ,"{'neg': 0.0, 'neu': 0.759, 'pos': 0.241, 'compound': 0.8689}",0.8689,Positive
Pemerintah Indonesia dan Malaysia perlu lebih optimal berpihak dan menjamin keadilan bagi pekerja migran. Impunitas harus diputus dan kebenaran ditegakkan. Opini AdadiKompas ,"{'neg': 0.0, 'neu': 0.65, 'pos': 0.35, 'compound': 0.9092}",0.9092,Positive
Euy barudaks Mohon kepada pemerintah agar segera memperbaiki jalan yang berlubang dan rusak karena sangat membahayakan pengendara motor khususnya. Respect kepada para relawan .edansepurid .cctv_ambulance_bandung_barat .emmore_pusat dan .tct_indonesia yang sudah (cont) ,"{'neg': 0.16, 'neu': 0.762, 'pos': 0.079, 'compound': -0.4927}",-0.4927,Negative
MAKAN GRATIS DI PAPUA BUKAN SEKEDAR PROGRAM TAPI MERUPAKAN BUKTI NYATA KOMITMEN PEMERINTAH UNTUK PERTUMBUHAN ANAK YANG SEHAT DAN CERDAS UNTUK MASA DEPAN ANAK-ANAK PAPUA PenuhiGiziIndonesia papua indonesia Arhan Islam Darurat ,"{'neg': 0.063, 'neu': 0.559, 'pos': 0.378, 'compound': 0.9506}",0.9506,Positive
rakyat di bodohi pemerintah di malaysia gas 12 kg cuma 90 000 di indonesia gas 12 kg rata2 200 000 emang aswww dah mahal barang langka ,"{'neg': 0.094, 'neu': 0.906, 'pos': 0.0, 'compound': -0.3818}",-0.3818,Negative
 1) Di Indonesia appointment di jajaran Pemerintah berbasis koneksi2 &amp; jejaring politik BUKAN Expertise-Based. 2) Mana posisi2 Kunci di Kabinet yg dipegang olh STEM Graduates? 3) Selama orientasi Politik DIATAS Science &amp; Knowledge STEM Graduates hnylah pemain pelengkap ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
 Lalu pemerintah kita geram dan heran kenapa perusahaan asing enggan melakukan investasi di Indonesia,"{'neg': 0.277, 'neu': 0.631, 'pos': 0.092, 'compound': -0.5859}",-0.5859,Negative
Jadi ada kabar dari pemerintah Indonesia nih: mereka berencana untuk stop impor beras jagung gula dan garam di tahun 2025! Kira-kira ini jadi kabar baik atau malah bikin pusing? Kalau produksi dalam negeri bisa mencukupi tentu positif banget! Tapi kalau pasokan nggak ,"{'neg': 0.06, 'neu': 0.843, 'pos': 0.098, 'compound': 0.4461}",0.4461,Positive
MENLU RI TOLAK BERUNDING DENGAN ORGANISASI TERORIS HAMAS Pemerintah Indonesia melalui Kemenlu RI menegaskan Pemerintah Indonesia hanya berkomunikasi secara resmi dengan Palestinian National Authority (PA) yg menjadi pemegang otoritas pemerintahan Palestina *Good job ,"{'neg': 0.097, 'neu': 0.849, 'pos': 0.054, 'compound': -0.6249}",-0.6249,Negative
 Pemerintah Indonesia BANYAK lebih GILA ,"{'neg': 0.216, 'neu': 0.784, 'pos': 0.0, 'compound': -0.0258}",-0.0258,Negative
Cak Imin selaku Menko Pemberdayaan Masyarakat menyampaikan pesan Presiden Prabowo Subianto bahwa tugas pemerintah saat ini adalah menghilangkan kemiskinan ekstrem. Begini penjelasannya detikfinance CakImin Menko Kemiskinan ,"{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.765}",-0.765,Negative
dari yang buka sampe jam 21 sampe sekarang minggu tutup pemerintah dongo emang pengen cepet indonesia gelap ,"{'neg': 0.0, 'neu': 0.919, 'pos': 0.081, 'compound': 0.1513}",0.1513,Positive
Setiap hari liat berita isinya pemerintah Indonesia yang skrg makin tolol.,"{'neg': 0.207, 'neu': 0.793, 'pos': 0.0, 'compound': -0.5267}",-0.5267,Negative
Posisi cadangan devisa Indonesia pada Januari 2025 tercatat sebesar 156 1 miliar dolar AS. Posisi ini setara pembiayaan 6 7 bulan impor atau 6 5 bulan impor &amp; pembayaran ULN pemerintah serta berada di atas standar kecukupan internasional sekitar 3 bulan impor. ,"{'neg': 0.053, 'neu': 0.947, 'pos': 0.0, 'compound': -0.3612}",-0.3612,Negative
 Aku sebagai rakyat Indonesia yang tidak pernah melanggar hukum dan tidak pernah memakan bantuan dari pemerintah Republik Indonesiameminta agar bahlil dipecat,"{'neg': 0.115, 'neu': 0.797, 'pos': 0.088, 'compound': -0.2081}",-0.2081,Negative
Jujur aja gue suka jadi warga Indonesia. CUMA EMG MENTAL SDM DAN PEMERINTAH AJA YG KAYAK TAI,"{'neg': 0.0, 'neu': 0.636, 'pos': 0.364, 'compound': 0.7906}",0.7906,Positive
Paradoks gas 3 kg di saat pemerintah ingin menyediakan makan bergizi gratis di sekolah-sekolah. Tapi hari ini rumah tangga di Indonesia banyak yang sedang kesulitan memasak karena gas tak ada.,"{'neg': 0.218, 'neu': 0.72, 'pos': 0.062, 'compound': -0.6597}",-0.6597,Negative
 Slogan terbaru pemerintah apapun lembaga kementrian dan badan yg setingkat itu wajib kena efisiensi Dan seperti biasanya MBG ini akan terealisasi di seluruh Indonesia dan setelah itu dihentikan yang penting sudah terealisasi kalo ada yang menuntut udah pernah terealisasi,"{'neg': 0.033, 'neu': 0.893, 'pos': 0.074, 'compound': 0.34}",0.34,Positive
Kebijakan pemerintah dengan adanya program makan bergizi gratis diseluruh indonesia adalah bentuk kecintaan bapa prabowo terhadap anak anak khususnya di Papua makanbergizi makanbergizigratis GrandeFratello BBMzansi BBMzansiumlilo LoveIsland ,"{'neg': 0.0, 'neu': 0.776, 'pos': 0.224, 'compound': 0.8176}",0.8176,Positive
